Year,Skater,SP Total,SP TES,SP PC,Quads in SP,FS Total,FS TES,FS PC,Quads in FS
2022,Zhou,95.84,51.67,44.17,2,181.54,93.96,87.58,4
2022,Kvitelashvili,92.61,50.82,41.79,2,179.42,93.42,86,3
2022,Siao Him Fa,90.97,48.84,42.13,1,175.15,90.15,86,3
2022,Grassl,97.62,54.67,42.95,1,169.04,85.98,84.06,3
2022,Tomono,101.12,57.38,43.74,2,168.25,81.97,87.28,3
2022,Sadovsky,80.54,40.86,39.68,1,164.82,82.38,82.44,2
2022,Rizzo,91.67,48.79,42.88,1,164.08,80.72,84.36,2
2022,Malinin,100.16,59.14,41.02,2,163.63,81.33,83.3,4
2022,Aymoz,85.26,41.36,43.9,1,160.2,75.44,85.76,1
2022,Selevko,78.85,41.37,37.48,0,155.87,80.73,75.14,1
2022,Vasiljevs,90.95,46.32,44.63,0,152.05,69.69,84.36,1
2022,Litvintsev,85.83,46.82,39.01,1,147.79,72.93,76.86,2
2022,Zandron,83.1,44.02,39.08,0,145.17,69.17,76,0
2022,Messing,91.18,47.07,44.11,1,143.85,65.65,82.2,3
2022,Lee,86.35,48.14,38.21,1,138.71,65.91,74.8,1
2022,Guarino Sabaté,71.42,35.31,36.11,0,137.53,66.65,70.88,0
2022,Majorov,79.36,41,39.36,0,137.09,63.39,74.7,0
2022,Newberry,74.92,38.85,36.07,0,135.48,64.26,72.22,0
2022,Starostin,73.79,38.33,36.46,0,131.93,62.29,69.64,0
2022,Shmuratko,73.99,38.14,36.85,0,122.66,50.46,72.2,0
